10570,263
10784,140
10978,139
11178,139
11365,163
11550,163
11732,170
11918,170
12099,194
12282,204
12473,204
12649,212
12841,212
13029,219
13199,219
13406,224
13588,232
13774,232
13952,239
14137,239
14314,246
14505,246
14684,253
14866,263
15054,263
15219,261
15429,261
15621,0
15809,0
15987,0
16178,253
16375,253
16550,0
16733,0
16916,0
17093,161
17282,161
17444,154
17645,154
17826,154
18015,154
18196,152
18380,150
18564,150
18742,151
18928,151
19106,150
19291,150
19456,150
19667,149
19857,149
20036,149
20227,149
20402,150
20590,150
20777,150
20995,151
21183,151
21363,153
21534,153
21717,153
21911,155
22100,155
22283,156
22466,156
22658,156
22855,156
23039,157
23227,156
23413,156
23594,147
23735,147
23961,139
24150,139
24334,0
24522,142
24711,142
24892,148
25082,148
25262,0
25450,0
25638,292
25806,281
26012,281
26213,268
26398,268
26577,253
26772,253
26951,249
27141,249
27333,249
27517,264
27710,264
27894,276
28030,276
28271,284
28456,258
28645,258
28832,184
29016,184
29190,173
29398,173
29580,169
29769,171
29972,171
30136,159
30375,107
